Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Shawatlan_L,7.345833302,6.591666698,32.15447235,514.6157227,18.10000038,-2.400000095,20.5,4.300000191,12,13.73333359,1.299999952,2510,369,104,39.00759506,947,357,360,741,1970-2000,NA
Shuswap_R_Lower,11.39999962,10.39999962,28.5,902.7999878,32.90000153,-3.599999905,36.5,0.5,5.900000095,22.60000038,0.300000012,686,85,34,28.60000038,224,125,158,177,2041-2060,26
Shuswap_R_Lower,12.89999962,10.5,27.20000076,962.4000244,36.5,-2,38.5,2.299999952,27.39999962,25.10000038,1.5,679,85,30,30.29999924,227,124,139,179,2041-2060,85
Shuswap_R_Lower,7.650000095,10.25,31.060606,840.2651367,26.10000038,-6.900000095,33,-1.883333325,3.233333349,17.93333435,-2.799999952,652,72,36,22.23209953,204,118,171,170,1970-2000,NA
Sinta_Cr,6,10.60000038,27.29999924,950.4000244,25.5,-13.19999981,38.70000076,7.400000095,1,17.29999924,-6.400000095,571,64,23,26.20000076,173,86,163,135,2041-2060,26
Sinta_Cr,7.5,10.5,27.20000076,958.0999756,28.10000038,-10.5,38.59999847,8.300000191,1.799999952,19.29999924,-4.599999905,589,68,26,27.20000076,182,89,164,137,2041-2060,85
Sinta_Cr,2.116666794,10.88333321,29.17783737,933.7347412,20.60000038,-16.70000076,37.30000305,8.666666985,-2.466666698,13.05000019,-10.01666641,522,53,22,23.90717888,154,83,153,131,1970-2000,NA
Stellako_R,7,11,27.89999962,969.7999878,27.29999924,-12.30000019,39.59999847,16.29999924,1.899999976,18.39999962,-5.699999809,562,65,26,26.60000038,169,85,161,128,2041-2060,26
Stellako_R,8.399999619,11,27.70000076,986.0999756,30.10000038,-9.699999809,39.79999924,9.199999809,2.5,20.39999962,-4,570,66,28,27.5,175,86,157,130,2041-2060,85
Stellako_R,3.120833635,11.25833321,30.10249519,944.6992188,21.70000076,-15.69999981,37.40000153,14.05000019,-1.566666484,14.05000019,-9.25,521,56,23,25.20732117,157,79,157,123,1970-2000,NA
Taseko_Lk,5.699999809,13.30000019,35.90000153,821,26.10000038,-11.10000038,37.20000076,0.699999988,0.400000006,15.60000038,-4.300000191,580,67,31,26.20000076,195,101,140,152,2041-2060,26
Taseko_Lk,7.099999905,13.39999962,34.59999847,870.7999878,29.39999962,-9.300000191,38.70000076,1.600000024,1,18,-3.200000048,584,70,32,27.29999924,198,104,131,154,2041-2060,85
Taseko_Lk,2.037499905,13.24166679,38.71832275,756.6887207,20.10000038,-14.10000038,34.20000076,-2.766666651,-2.149999857,11.10000038,-7.283333302,550,58,30,21.21274376,172,98,144,149,1970-2000,NA
Tatshenshini_R,5.699999809,7.5,23.60000038,878.2999878,21.89999962,-10,31.89999962,7.300000191,16.10000038,16.60000038,-5,1897,276,86,37.29999924,707,295,329,520,2041-2060,26
Tatshenshini_R,7.199999809,7.5,24,871.5999756,23.89999962,-7.199999809,31.10000038,8.199999809,18.10000038,18.39999962,-3.099999905,1936,280,86,36.90000153,725,293,334,524,2041-2060,85
Tatshenshini_R,1.995833278,7.808333397,25.18817139,863.3403931,17.39999962,-13.60000038,31,2.633333206,10.5,12.19999981,-8.850000381,1690,239,75,36.73150635,623,255,288,473,1970-2000,NA
Tintina_Cr,8.300000191,8.699999809,26.70000076,854.7999878,25.29999924,-7.199999809,32.5,9.5,6.800000191,19,-2.5,1191,207,42,50,485,152,208,346,2041-2060,26
